Number,Identifier,Transect,Point,Monitor,Distance_from_treatment,Location,Treatment,Date,Start_date,Time,com_pip_passes,com_pip_fb,sop_pip_passes,sop_pip_fb,nat_pip_passes,noid_pip_passes,noid_pip_fb,nls_passes,myotis_passes,unknown_passes,unknown_fb,social_calls,Comments,,
51,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,v distant,1,1
52,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
53,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
54,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
55,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
56,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
57,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
58,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
59,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
60,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,01:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
61,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
62,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
63,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
64,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
65,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
66,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
67,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
68,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
69,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
70,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
71,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
72,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
73,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
74,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
75,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
76,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
77,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
78,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
79,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
80,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,03:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
81,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
82,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
83,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
84,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
85,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
86,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
87,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
88,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
89,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
90,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,04:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
91,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
92,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
93,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
94,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
95,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
96,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,05:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
97,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
98,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
99,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
100,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
101,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
102,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
103,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
104,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
105,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
106,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,20:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
107,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
108,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
109,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
110,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:18:00,0,0,1,0,0,0,0,0,0,0,0,0,v distant,1,1
111,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
112,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
113,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
114,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
115,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
116,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,21:54:00,0,0,0,0,0,0,0,1,0,0,0,0,likely serotine,1,0
117,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
118,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:06:00,0,0,0,0,0,0,0,0,0,0,0,7,,0,0
119,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
120,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
121,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
122,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
123,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
124,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
125,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
126,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,22:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
127,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
128,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
129,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
130,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
131,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
132,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
133,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
134,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
135,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
136,Emma Little,1,2,a,5,Experimental,Light,19/05/2023,19/05/2023,23:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
137,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
138,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
139,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
140,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
141,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
142,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
143,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
144,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
145,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
146,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,00:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
147,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
148,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
149,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
150,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
151,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
152,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
153,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
154,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
155,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
156,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,01:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
157,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
158,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
159,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
160,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
161,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
162,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
163,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
164,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
165,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
166,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
167,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
168,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
169,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
170,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
171,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
172,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
173,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
174,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
175,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
176,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,03:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
177,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
178,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
179,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
180,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
181,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
182,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
183,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
184,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
185,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
186,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,04:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
187,Emma Little,1,2,a,5,Experimental,Light,20/05/2023,19/05/2023,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
